Provider,total_claims,num_inpatient_claims,num_outpatient_claims,total_claim_amount,avg_claim_amount,max_claim_amount,std_claim_amount,unique_patients,unique_physicians,avg_claim_duration,avg_patient_age,avg_num_diagnosis_codes,avg_num_procedure_codes,total_deductible_paid,claims_per_patient,claims_per_physician,inpatient_ratio,PotentialFraud
PRV51001,25,5,20,104640,4185.6,42000,10796.09114448373,24,14,1.44,78.28,3.2,0.12,5340.0,1.0416666666666667,1.7857142857142858,0.2,0
PRV51003,132,62,70,605670,4588.409090909091,57000,7309.79472874617,117,44,3.6742424242424243,69.5530303030303,5.25,0.36363636363636365,66286.0,1.1282051282051282,3.0,0.4696969696969697,1
PRV51004,149,0,149,52170,350.13422818791946,3300,689.9637540197714,138,38,1.429530201342282,71.81208053691275,2.5838926174496644,0.0,310.0,1.0797101449275361,3.9210526315789473,0.0,0
PRV51005,1165,0,1165,280910,241.1244635193133,4080,491.556391867259,495,6,1.088412017167382,70.00085836909871,2.5888412017167384,0.0,3700.0,2.3535353535353534,194.16666666666666,0.0,1
PRV51007,72,3,69,33710,468.19444444444446,10000,1433.7691157058027,58,10,0.9583333333333334,68.79166666666667,2.986111111111111,0.013888888888888888,3264.0,1.2413793103448276,7.2,0.041666666666666664,0
PRV51008,43,2,41,35630,828.6046511627907,21000,3224.7654631552355,36,10,1.5348837209302326,75.04651162790698,3.1627906976744184,0.046511627906976744,2316.0,1.1944444444444444,4.3,0.046511627906976744,0
PRV51011,58,1,57,16630,286.7241379310345,5000,701.0478070917784,53,28,0.5517241379310345,73.86206896551724,2.5344827586206895,0.0,1368.0,1.0943396226415094,2.0714285714285716,0.017241379310344827,0
PRV51012,48,0,48,16890,351.875,3300,707.8936578689371,31,14,3.7083333333333335,74.02083333333333,2.5625,0.0,100.0,1.5483870967741935,3.4285714285714284,0.0,0
PRV51013,46,0,46,14880,323.4782608695652,1800,471.622341339171,44,9,1.4565217391304348,74.0,2.5434782608695654,0.0,230.0,1.0454545454545454,5.111111111111111,0.0,0
PRV51014,30,0,30,10480,349.3333333333333,3300,822.984196996362,25,7,0.4666666666666667,70.63333333333334,3.6666666666666665,0.0,120.0,1.2,4.285714285714286,0.0,0
PRV51015,8,0,8,700,87.5,200,74.01737247816507,7,3,0.375,71.625,3.125,0.0,0.0,1.1428571428571428,2.6666666666666665,0.0,0
PRV51016,6,0,6,170,28.333333333333332,90,37.638632635454044,6,3,0.3333333333333333,70.5,3.5,0.0,0.0,1.0,2.0,0.0,0
PRV51017,515,0,515,142720,277.126213592233,3300,570.1818038894332,420,113,1.3572815533980582,72.14368932038835,2.704854368932039,0.003883495145631068,1050.0,1.2261904761904763,4.557522123893805,0.0,0
PRV51021,257,29,228,348830,1357.3151750972763,57000,4462.486890505436,208,69,2.0,72.58365758754864,3.4280155642023344,0.08560311284046693,31492.0,1.2355769230769231,3.7246376811594204,0.11284046692607004,1
PRV51023,36,9,27,65610,1822.5,13000,3084.6980634832225,35,14,3.6666666666666665,72.75,4.555555555555555,0.1388888888888889,8624.0,1.0285714285714285,2.5714285714285716,0.25,0
PRV51024,39,9,30,64050,1642.3076923076924,13000,3334.4891990563538,38,13,1.641025641025641,68.02564102564102,3.5128205128205128,0.1794871794871795,9702.0,1.0263157894736843,3.0,0.23076923076923078,0
PRV51025,87,13,74,118350,1360.344827586207,17000,3052.031899721988,76,35,2.1724137931034484,73.51724137931035,3.67816091954023,0.13793103448275862,14284.0,1.144736842105263,2.4857142857142858,0.14942528735632185,0
PRV51026,76,0,76,19840,261.05263157894734,3300,668.7831316600191,56,29,1.0921052631578947,69.5657894736842,2.4078947368421053,0.0,340.0,1.3571428571428572,2.6206896551724137,0.0,0
PRV51027,53,0,53,29840,563.0188679245283,3300,1044.0446219937528,44,10,2.1320754716981134,73.0,2.4716981132075473,0.0,0.0,1.2045454545454546,5.3,0.0,0
PRV51029,93,0,93,30660,329.6774193548387,3300,618.3119580109661,79,38,0.6989247311827957,70.91397849462365,2.838709677419355,0.0,160.0,1.1772151898734178,2.4473684210526314,0.0,0
PRV51030,171,82,89,739760,4326.081871345029,57000,6972.1108605702175,145,46,3.198830409356725,71.85380116959064,5.152046783625731,0.3333333333333333,86748.0,1.1793103448275861,3.717391304347826,0.47953216374269003,0
PRV51031,185,28,157,359720,1944.4324324324325,68000,6540.990221125198,157,60,2.0,72.63783783783784,3.362162162162162,0.13513513513513514,30244.0,1.178343949044586,3.0833333333333335,0.15135135135135136,0
PRV51032,23,0,23,5420,235.65217391304347,2900,596.2063865273236,21,10,0.9130434782608695,69.43478260869566,2.347826086956522,0.0,50.0,1.0952380952380953,2.3,0.0,0
PRV51035,30,1,29,32560,1085.3333333333333,29000,5274.670594933628,25,18,2.2666666666666666,73.76666666666667,2.4,0.03333333333333333,1428.0,1.2,1.6666666666666667,0.03333333333333333,0
PRV51036,278,0,278,74880,269.3525179856115,4400,579.1512632739048,131,5,1.0503597122302157,72.65827338129496,2.615107913669065,0.0,1410.0,2.122137404580153,55.6,0.0,0
PRV51037,454,23,431,342230,753.8105726872246,23000,2427.046146481494,206,3,1.5330396475770924,71.89867841409692,2.986784140969163,0.028634361233480177,25524.0,2.203883495145631,151.33333333333334,0.05066079295154185,1
PRV51038,141,30,111,265490,1882.9078014184397,17000,3612.4397254501177,107,44,1.7801418439716312,71.56028368794327,3.3191489361702127,0.10638297872340426,31192.0,1.3177570093457944,3.2045454545454546,0.2127659574468085,0
PRV51040,86,9,77,74470,865.9302325581396,21000,3171.5249172846784,69,15,1.6627906976744187,71.17441860465117,3.453488372093023,0.08139534883720931,8784.0,1.2463768115942029,5.733333333333333,0.10465116279069768,0
PRV51041,34,0,34,7410,217.94117647058823,3200,562.4232171797465,31,9,2.3529411764705883,70.41176470588235,2.5294117647058822,0.0,270.0,1.096774193548387,3.7777777777777777,0.0,0
PRV51042,142,0,142,48050,338.38028169014086,3300,625.7915694564421,128,52,1.232394366197183,72.59859154929578,2.4859154929577465,0.0,310.0,1.109375,2.730769230769231,0.0,0
PRV51043,23,0,23,4480,194.7826086956522,1100,297.6402582315741,20,6,0.0,74.17391304347827,1.9130434782608696,0.0,0.0,1.15,3.8333333333333335,0.0,0
PRV51044,59,0,59,21330,361.52542372881356,3300,633.149798583193,39,1,2.152542372881356,69.15254237288136,2.389830508474576,0.0,130.0,1.5128205128205128,59.0,0.0,0
PRV51045,31,0,31,8390,270.64516129032256,3300,602.7212483609703,29,16,2.2580645161290325,71.3225806451613,2.6451612903225805,0.0,40.0,1.0689655172413792,1.9375,0.0,0
PRV51046,38,8,30,109370,2878.157894736842,38000,7053.672555125875,26,6,1.631578947368421,72.07894736842105,3.473684210526316,0.13157894736842105,8644.0,1.4615384615384615,6.333333333333333,0.21052631578947367,0
PRV51047,11,0,11,2530,230.0,1300,371.80640123591206,11,10,3.090909090909091,70.54545454545455,2.0,0.0,0.0,1.0,1.1,0.0,0
PRV51048,38,4,34,27700,728.9473684210526,7000,1574.7102512949575,33,15,0.6052631578947368,70.28947368421052,2.9473684210526314,0.07894736842105263,4352.0,1.1515151515151516,2.533333333333333,0.10526315789473684,0
PRV51049,71,0,71,21720,305.9154929577465,3300,644.0465321804644,65,35,1.7887323943661972,70.64788732394366,2.5774647887323945,0.0,190.0,1.0923076923076922,2.0285714285714285,0.0,0
PRV51052,46,2,44,30800,669.5652173913044,9000,1588.238656180332,37,17,2.282608695652174,71.56521739130434,3.282608695652174,0.021739130434782608,2346.0,1.2432432432432432,2.7058823529411766,0.043478260869565216,1
PRV51053,1,1,0,8000,8000.0,8000,0.0,1,1,5.0,68.0,9.0,1.0,1068.0,1.0,1.0,1.0,0
PRV51054,57,0,57,15130,265.43859649122805,1900,417.09056131834507,40,3,2.3508771929824563,70.33333333333333,2.491228070175439,0.0,140.0,1.425,19.0,0.0,0
PRV51055,22,2,20,21640,983.6363636363636,16000,3395.7838641391845,22,6,0.5909090909090909,68.72727272727273,3.6363636363636362,0.09090909090909091,2206.0,1.0,3.6666666666666665,0.09090909090909091,0
PRV51056,22,2,20,14700,668.1818181818181,5000,1288.2385033674632,21,5,0.7272727272727273,76.68181818181819,2.8181818181818183,0.09090909090909091,2146.0,1.0476190476190477,4.4,0.09090909090909091,0
PRV51057,5,0,5,6830,1366.0,3300,1273.8838251583227,4,1,0.0,78.0,4.0,0.0,0.0,1.25,5.0,0.0,0
PRV51058,83,5,78,107030,1289.5180722891566,57000,6524.930595577891,75,31,1.3012048192771084,73.43373493975903,3.3012048192771086,0.060240963855421686,5540.0,1.1066666666666667,2.6774193548387095,0.060240963855421686,0
PRV51059,96,25,71,421060,4386.041666666667,57000,10846.377176314554,82,30,2.4791666666666665,74.11458333333333,4.083333333333333,0.25,26940.0,1.170731707317073,3.2,0.2604166666666667,1
PRV51060,42,5,37,43710,1040.7142857142858,14000,2605.1781389932817,42,28,2.3095238095238093,71.47619047619048,3.4047619047619047,0.0,5340.0,1.0,1.5,0.11904761904761904,0
PRV51061,145,1,144,54940,378.8965517241379,6700,846.8914705174736,67,6,2.393103448275862,76.93103448275862,2.5517241379310347,0.013793103448275862,1328.0,2.1641791044776117,24.166666666666668,0.006896551724137931,0
PRV51062,397,3,394,153380,386.3476070528967,25000,1582.0120515942547,166,6,1.5969773299748111,72.77833753148614,2.7455919395465993,0.012594458438287154,3944.0,2.391566265060241,66.16666666666667,0.007556675062972292,0
PRV51063,149,0,149,51110,343.02013422818794,3300,649.1935794860635,115,3,1.610738255033557,69.38255033557047,2.51006711409396,0.0,160.0,1.2956521739130435,49.666666666666664,0.0,0
PRV51064,303,36,267,360320,1189.1749174917493,37000,3480.8675241896503,227,111,1.9504950495049505,72.92739273927393,3.3795379537953796,0.0858085808580858,38948.0,1.3348017621145374,2.72972972972973,0.1188118811881188,1
PRV51065,28,10,18,76570,2734.6428571428573,11000,3990.1819155994285,26,9,2.9285714285714284,75.28571428571429,4.964285714285714,0.32142857142857145,9722.0,1.0769230769230769,3.111111111111111,0.35714285714285715,0
PRV51066,24,2,22,24790,1032.9166666666667,15000,3108.2911272730003,21,7,1.0833333333333333,68.54166666666667,3.2083333333333335,0.08333333333333333,2236.0,1.1428571428571428,3.4285714285714284,0.08333333333333333,0
PRV51067,58,12,46,334520,5767.586206896552,83000,15030.416215635716,49,21,2.310344827586207,68.03448275862068,3.9482758620689653,0.22413793103448276,13096.0,1.183673469387755,2.761904761904762,0.20689655172413793,1
PRV51068,261,9,252,143260,548.8888888888889,19000,1833.7386964443992,214,79,1.3754789272030652,70.6896551724138,2.89272030651341,0.011494252873563218,8984.0,1.219626168224299,3.3037974683544302,0.034482758620689655,0
PRV51070,99,10,89,125410,1266.7676767676767,22000,3525.2155320655197,69,46,1.9090909090909092,69.93939393939394,3.01010101010101,0.06060606060606061,10980.0,1.434782608695652,2.152173913043478,0.10101010101010101,0
PRV51071,24,0,24,8550,356.25,3200,728.391990142909,24,11,2.0833333333333335,68.41666666666667,2.625,0.0,50.0,1.0,2.1818181818181817,0.0,0
PRV51072,212,12,200,119170,562.122641509434,14000,1647.668962074742,160,47,1.5377358490566038,72.28301886792453,3.150943396226415,0.02830188679245283,12178.0,1.325,4.51063829787234,0.05660377358490566,0
PRV51074,39,5,34,41170,1055.6410256410256,15000,2662.095331117354,39,14,1.8974358974358974,72.8974358974359,3.6923076923076925,0.02564102564102564,5420.0,1.0,2.7857142857142856,0.1282051282051282,0
PRV51075,17,0,17,8550,502.94117647058823,3000,765.4881180159032,13,4,1.1764705882352942,76.58823529411765,2.3529411764705883,0.0,70.0,1.3076923076923077,4.25,0.0,0
PRV51076,29,0,29,10230,352.7586206896552,3300,853.5467873682151,27,8,1.1724137931034482,75.72413793103448,2.5172413793103448,0.0,50.0,1.0740740740740742,3.625,0.0,0
PRV51077,33,16,17,204350,6192.424242424242,56000,11146.270685273796,30,11,4.181818181818182,70.36363636363636,5.0606060606060606,0.24242424242424243,16220.0,1.1,3.0,0.48484848484848486,1
PRV51078,23,9,14,78270,3403.0434782608695,16000,5039.106553910135,23,13,2.652173913043478,70.6086956521739,4.913043478260869,0.34782608695652173,8644.0,1.0,1.7692307692307692,0.391304347826087,0
PRV51081,200,6,194,124080,620.4,48000,3552.83973617651,131,3,1.62,72.27,3.04,0.045,7168.0,1.5267175572519085,66.66666666666667,0.03,0
PRV51082,34,0,34,5470,160.88235294117646,1000,237.41496272903532,31,9,1.1764705882352942,72.67647058823529,2.588235294117647,0.0,70.0,1.096774193548387,3.7777777777777777,0.0,0
PRV51083,90,0,90,18100,201.11111111111111,3300,512.3210993741329,81,18,1.3777777777777778,74.8,2.577777777777778,0.0,140.0,1.1111111111111112,5.0,0.0,0
PRV51084,110,20,90,215580,1959.8181818181818,45000,5957.252765923029,85,32,1.6727272727272726,72.42727272727272,3.3363636363636364,0.12727272727272726,21890.0,1.2941176470588236,3.4375,0.18181818181818182,1
PRV51086,139,31,108,446170,3209.856115107914,57000,8080.497185307093,115,24,2.7985611510791366,74.6978417266187,4.2086330935251794,0.17266187050359713,33168.0,1.208695652173913,5.791666666666667,0.22302158273381295,0
PRV51089,228,18,210,230900,1012.719298245614,41000,3851.611890980826,197,72,1.6929824561403508,71.03947368421052,3.1140350877192984,0.07456140350877193,18696.0,1.1573604060913705,3.1666666666666665,0.07894736842105263,0
PRV51090,7,0,7,5830,832.8571428571429,3300,1303.798479900355,7,3,5.714285714285714,71.71428571428571,2.4285714285714284,0.0,60.0,1.0,2.3333333333333335,0.0,0
PRV51091,44,0,44,9270,210.6818181818182,2100,451.69138325658287,44,19,0.9318181818181818,69.04545454545455,3.090909090909091,0.0,80.0,1.0,2.3157894736842106,0.0,0
PRV51093,9,2,7,13710,1523.3333333333333,11000,3616.559138186461,9,6,1.4444444444444444,75.55555555555556,4.0,0.2222222222222222,2136.0,1.0,1.5,0.2222222222222222,0
PRV51096,5,0,5,3200,640.0,2100,826.4381404557754,5,3,4.0,85.2,1.6,0.0,100.0,1.0,1.6666666666666667,0.0,0
PRV51097,125,0,125,44420,355.36,3500,751.1727862740433,71,1,1.744,70.816,2.584,0.0,230.0,1.7605633802816902,125.0,0.0,0
PRV51098,4,0,4,300,75.0,200,85.04900548115383,4,2,0.0,81.75,3.25,0.0,0.0,1.0,2.0,0.0,0
PRV51100,5,5,0,78000,15600.0,33000,11436.782764396638,5,3,6.0,70.6,8.6,0.8,5340.0,1.0,1.6666666666666667,1.0,0
PRV51101,3,3,0,16600,5533.333333333333,13000,6576.726642740547,3,1,3.3333333333333335,57.0,7.333333333333333,0.3333333333333333,3204.0,1.0,3.0,1.0,0
PRV51102,12,12,0,148000,12333.333333333334,47000,12017.663767315278,11,3,4.0,79.83333333333333,8.333333333333334,0.9166666666666666,12816.0,1.0909090909090908,4.0,1.0,0
PRV51103,6,0,6,440,73.33333333333333,200,71.46094504459528,4,2,0.0,76.66666666666667,1.3333333333333333,0.0,60.0,1.5,3.0,0.0,1
PRV51104,12,0,12,1900,158.33333333333334,700,202.83595401807898,9,2,1.1666666666666667,78.91666666666667,2.3333333333333335,0.0,110.0,1.3333333333333333,6.0,0.0,0
PRV51105,12,0,12,6540,545.0,1800,767.4455858708989,12,2,3.3333333333333335,76.08333333333333,2.3333333333333335,0.0,0.0,1.0,6.0,0.0,0
