Provider,ActualLabel,FraudProbability,RecommendedAction,TopReasons
PRV56560,Fraud,0.9996,Flag for manual review,total_claim_amount = 3212000.0 (contributed +3.464 to fraud score) | total_claims = 2313.0 (contributed +2.712 to fraud score) | num_inpatient_claims = 248.0 (contributed +1.497 to fraud score)
PRV54742,Fraud,0.9996,Flag for manual review,total_claim_amount = 2969530.0 (contributed +3.446 to fraud score) | total_claims = 1892.0 (contributed +2.567 to fraud score) | num_inpatient_claims = 231.0 (contributed +1.416 to fraud score)
PRV56416,Fraud,0.9995,Flag for manual review,total_claim_amount = 2744870.0 (contributed +3.442 to fraud score) | total_claims = 1592.0 (contributed +2.662 to fraud score) | num_inpatient_claims = 214.0 (contributed +1.503 to fraud score)
PRV52340,Fraud,0.9995,Flag for manual review,total_claim_amount = 2540130.0 (contributed +3.474 to fraud score) | total_claims = 1743.0 (contributed +2.655 to fraud score) | num_inpatient_claims = 224.0 (contributed +1.507 to fraud score)
PRV51244,Fraud,0.9995,Flag for manual review,total_claim_amount = 2153990.0 (contributed +3.512 to fraud score) | total_claims = 1415.0 (contributed +2.639 to fraud score) | num_inpatient_claims = 200.0 (contributed +1.424 to fraud score)
PRV54350,Fraud,0.9994,Flag for manual review,total_claim_amount = 1425070.0 (contributed +3.403 to fraud score) | total_claims = 1495.0 (contributed +2.7 to fraud score) | num_inpatient_claims = 105.0 (contributed +1.645 to fraud score)
PRV52985,Fraud,0.9993,Flag for manual review,total_claim_amount = 1720120.0 (contributed +3.274 to fraud score) | total_claims = 1403.0 (contributed +2.63 to fraud score) | num_inpatient_claims = 121.0 (contributed +1.391 to fraud score)
PRV57191,Fraud,0.9993,Flag for manual review,total_claim_amount = 2424430.0 (contributed +3.457 to fraud score) | total_claims = 1500.0 (contributed +2.612 to fraud score) | num_inpatient_claims = 185.0 (contributed +1.348 to fraud score)
PRV54772,Fraud,0.9993,Flag for manual review,total_claim_amount = 1751320.0 (contributed +3.588 to fraud score) | total_claims = 2115.0 (contributed +2.569 to fraud score) | num_inpatient_claims = 109.0 (contributed +1.436 to fraud score)
PRV55462,Fraud,0.9993,Flag for manual review,total_claim_amount = 4713830.0 (contributed +3.493 to fraud score) | total_claims = 1907.0 (contributed +2.558 to fraud score) | num_inpatient_claims = 386.0 (contributed +1.401 to fraud score)
PRV55215,Fraud,0.9991,Flag for manual review,total_claim_amount = 2284560.0 (contributed +3.556 to fraud score) | total_claims = 3393.0 (contributed +2.713 to fraud score) | num_inpatient_claims = 143.0 (contributed +1.373 to fraud score)
PRV51578,Fraud,0.999,Flag for manual review,total_claim_amount = 1662920.0 (contributed +3.51 to fraud score) | total_claims = 1500.0 (contributed +2.711 to fraud score) | num_inpatient_claims = 122.0 (contributed +1.478 to fraud score)
PRV52019,Fraud,0.999,Flag for manual review,total_claim_amount = 5996050.0 (contributed +3.245 to fraud score) | total_claims = 1961.0 (contributed +2.669 to fraud score) | num_inpatient_claims = 516.0 (contributed +1.704 to fraud score)
PRV51940,Fraud,0.9987,Flag for manual review,total_claim_amount = 1992270.0 (contributed +3.38 to fraud score) | num_inpatient_claims = 193.0 (contributed +1.664 to fraud score) | max_claim_amount = 71000.0 (contributed +0.617 to fraud score)
PRV53797,Fraud,0.9987,Flag for manual review,total_claim_amount = 1303600.0 (contributed +3.205 to fraud score) | total_claims = 4739.0 (contributed +3.183 to fraud score) | claims_per_patient = 2.35 (contributed +0.557 to fraud score)
